восхитительный индийский диван - товар проданный максимальное количество раз (184)
блистательный русский пылесос - товар с максимальной выручкой (6139668)

Общая выручка: 75389902

Название товара                         |Продано штук|Доля от выручки
блистательный индийский телевизор       |          46|          2.26%
изящный индийский стол                  |          87|          2.25%
восхитительный русский диван            |          12|          0.54%
блистательный китайский холодильник     |         181|          4.93%
блистательный китайский телевизор       |          63|          1.56%
изящный китайский стол                  |          82|          3.57%
изящный русский пылесос                 |         110|          5.85%
блистательный русский пылесос           |         151|          8.14%
блистательный индийский пылесос         |          87|          4.91%
восхитительный индийский холодильник    |          96|          5.83%
блистательный китайский стол            |          96|          5.33%
восхитительный китайский холодильник    |          71|           2.2%
изящный китайский холодильник           |         109|          3.39%
восхитительный русский стол             |          84|          2.49%
восхитительный китайский пылесос        |          55|          0.99%
блистательный индийский холодильник     |         124|          6.01%
изящный индийский телевизор             |          45|          0.89%
изящный русский телевизор               |          79|          3.05%
восхитительный русский телевизор        |          45|          1.63%
блистательный русский стол              |          83|          2.98%
изящный индийский холодильник           |           4|          0.22%
блистательный китайский пылесос         |          88|           1.9%
изящный русский стол                    |          99|          1.91%
изящный русский холодильник             |         136|          5.21%
изящный китайский пылесос               |          84|          2.72%
восхитительный индийский диван          |         184|          7.13%
изящный русский диван                   |           5|          0.29%
изящный индийский диван                 |          95|          4.48%
восхитительный индийский пылесос        |          67|          3.99%
блистательный индийский стол            |          85|          3.37%
